то,to,so,Transliteration: to<br><br>Translation: so
принципи,printsipi,principles,Transliteration: printsipi<br><br>Translation: principles
въпреки,vapreki,although,Transliteration: vapreki<br><br>Translation: although
вж,vzh,see,Transliteration: vzh<br><br>Translation: see
Единение,Edinenie,Union,Transliteration: Edinenie<br><br>Translation: Union
Първото,Parvoto,First,Transliteration: Parvoto<br><br>Translation: First
глас,glas,voice,Transliteration: glas<br><br>Translation: voice
молим,molim,pray,Transliteration: molim<br><br>Translation: pray
сключените,sklyuchenite,concluded,Transliteration: sklyuchenite<br><br>Translation: concluded
Ме,Me,Me,Transliteration: Me<br><br>Translation: Me
Духа,Duha,Spirit,Transliteration: Duha<br><br>Translation: Spirit
учения,ucheniya,teachings,Transliteration: ucheniya<br><br>Translation: teachings
служение,sluzhenie,ministry,Transliteration: sluzhenie<br><br>Translation: ministry
Чрез,Chrez,By,Transliteration: Chrez<br><br>Translation: By
обич,obich,affection,Transliteration: obich<br><br>Translation: affection
светии,svetii,saints,Transliteration: svetii<br><br>Translation: saints
светлината,svetlinata,light,Transliteration: svetlinata<br><br>Translation: light
преживявания,prezhivyavaniya,experience,Transliteration: prezhivyavaniya<br><br>Translation: experience
помагаме,pomagame,help,Transliteration: pomagame<br><br>Translation: help
президентство,prezidentstvo,presidency,Transliteration: prezidentstvo<br><br>Translation: presidency
скъпи,skapi,dear,Transliteration: skapi<br><br>Translation: dear
напълно,napalno,completely,Transliteration: napalno<br><br>Translation: completely
направи,napravi,do,Transliteration: napravi<br><br>Translation: do
словата,slovata,the words,Transliteration: slovata<br><br>Translation: the words
мога,moga,can,Transliteration: moga<br><br>Translation: can
нищо,nishto,nothing,Transliteration: nishto<br><br>Translation: nothing
Мен,Men,Me,Transliteration: Men<br><br>Translation: Me
около,okolo,around,Transliteration: okolo<br><br>Translation: around
тук,tuk,here,Transliteration: tuk<br><br>Translation: here
Божие,Bozhie,God,Transliteration: Bozhie<br><br>Translation: God
духовна,duhovna,spiritual,Transliteration: duhovna<br><br>Translation: spiritual
истини,istini,truth,Transliteration: istini<br><br>Translation: truth
отговор,otgovor,response,Transliteration: otgovor<br><br>Translation: response
различни,razlichni,different,Transliteration: razlichni<br><br>Translation: different
член,chlen,member,Transliteration: chlen<br><br>Translation: member
послание,poslanie,message,Transliteration: poslanie<br><br>Translation: message
покаяние,pokayanie,repentance,Transliteration: pokayanie<br><br>Translation: repentance
разбиране,razbirane,understanding,Transliteration: razbirane<br><br>Translation: understanding
земния,zemniya,earthy,Transliteration: zemniya<br><br>Translation: earthy
понякога,ponyakoga,sometimes,Transliteration: ponyakoga<br><br>Translation: sometimes
началото,nachaloto,start,Transliteration: nachaloto<br><br>Translation: start
Трябва,Tryabva,Must,Transliteration: Tryabva<br><br>Translation: Must
такива,takiva,such,Transliteration: takiva<br><br>Translation: such
отношение,otnoshenie,attitude,Transliteration: otnoshenie<br><br>Translation: attitude
смъртта,smartta,death,Transliteration: smartta<br><br>Translation: death
моята,moyata,mine,Transliteration: moyata<br><br>Translation: mine
благодарност,blagodarnost,grateful,Transliteration: blagodarnost<br><br>Translation: grateful
въпрос,vapros,question,Transliteration: vapros<br><br>Translation: question
кани,kani,invite,Transliteration: kani<br><br>Translation: invite
Господа,Gospoda,Gentlemen,Transliteration: Gospoda<br><br>Translation: Gentlemen
благославя,blagoslavya,bless,Transliteration: blagoslavya<br><br>Translation: bless
споделя,spodelya,share,Transliteration: spodelya<br><br>Translation: share
завет,zavet,covenant,Transliteration: zavet<br><br>Translation: covenant
младежи,mladezhi,youth,Transliteration: mladezhi<br><br>Translation: youth
родители,roditeli,parents,Transliteration: roditeli<br><br>Translation: parents
свързани,svarzani,connected,Transliteration: svarzani<br><br>Translation: connected
възможно,vazmozhno,possibly,Transliteration: vazmozhno<br><br>Translation: possibly
греховете,grehovete,sins,Transliteration: grehovete<br><br>Translation: sins
плана,plana,plan,Transliteration: plana<br><br>Translation: plan
заветите,zavetite,covenants,Transliteration: zavetite<br><br>Translation: covenants
